ลำดับ,รหัสเดิม,รหัสใหม่,ประเภท,สี,ยาว,กว้าง,สูง,ราคา
1,A022-23-GRY,OT022-GRY-00-23-00,อื่นๆ,เทา,,23,,
2,A03-45-BLK,OT03-BLK-00-45-00,อื่นๆ,ดำ,,45,,
3,A03-20-GLD,OT03-GLD-00-20-00,อื่นๆ,ทอง,,20,,
4,A14-2-00-GLD,OT142-GLD-00-00-00,อื่นๆ,ทอง,,,,
5,AA002-60-SLV,AA002-SLV-00-60-00,โคมไฟระย้า,สีเงิน,,60,,
6,AA002-80-SLV,AA002-SLV-00-80-00,โคมไฟระย้า,สีเงิน,,80,,
7,AA002-50-50-OTH,AA00250-CHR-00-50-00,โคมไฟระย้า,สีโครเมี่ยม,,50,,
8,AA002-60-60-OTH,AA00260-CHR-00-60-00,โคมไฟระย้า,สีโครเมี่ยม,,60,,
9,AA002-80-80-OTH,AA00280-CHR-00-80-00,โคมไฟระย้า,สีโครเมี่ยม,,80,,
10,AA018-40-BLK,AA018-BLK-00-40-00,โคมไฟระย้า,สีดำ,,40,,
11,AA018-50-BLK,AA018-BLK-00-50-00,โคมไฟระย้า,ดำ,,50,,
12,AA020-60-GLD,AA020-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
13,AA020-A-60-GLD,AA020-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
14,AA022-240-NA,AA022-XXX-00-240-00,โคมไฟระย้า,,,240,,
15,AA022-A-120-SLV,AA022-SLV-00-120-00,โคมไฟระย้า,เงิน,,120,,
16,AA025-30-GLD,AA025-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
17,AA031-20-RGD,AA031-RGD-00-20-00,โคมไฟระย้า,โรสโกลด์,,20,,
18,AA031-00-RGD,AA031-RGD-00-00-00,โคมไฟระย้า,สีโรสโกลด์,,,,
19,AA031-300-RGD,AA031-RGD-00-300-00,โคมไฟระย้า,โรสโกลด์,,300,,
20,AA035-18-RGD,AA035-RGD-00-18-00,โคมไฟระย้า,โรสโกลด์,,18,,
21,AA035-50-SLV,AA035-SLV-00-50-00,โคมไฟระย้า,น้ำเงิน,,50,,
22,AA035-38-NA,AA035-XXX-00-38-00,โคมไฟระย้า,,,38,,
23,AA035-350-GRY,AA035-GRY-00-350-00,โคมไฟระย้า,เทา-เงา,,350,,
24,AA035-350-SLV,AA035-SLV-00-350-00,โคมไฟระย้า,"น้ำเงิน,เงิน,โรสโกลด์",,350,,
25,AA035-00-GRY,AA035-GRY-00-00-00,โคมไฟระย้า,เทา-เงา,,,,
26,AA035-150-SLV,AA035-SLV-00-150-00,โคมไฟระย้า,สแตนเลสเงิน,,150,,
27,AA035-15-SLV,AA035-SLV-00-15-00,โคมไฟระย้า,น้ำเงินเข้ม,,15,,
28,AA035-28-SLV,AA035-SLV-00-28-00,โคมไฟระย้า,น้ำเงินเข้ม,,28,,
29,AA035-00-SLV,AA035-SLV-00-00-00,โคมไฟระย้า,น้ำเงินเข้ม,,,,
30,AA035-20-MIX,AA035-คละ-00-20-00,โคมไฟระย้า,คละแบบ,,20,,
31,AA035-38-GLD,AA035-GLD-00-38-00,โคมไฟระย้า,ทอง,,38,,
32,AA035-00-MIX,AA035-คละ-00-00-00,โคมไฟระย้า,คละสี,,,,
33,AA035-350-MIX,AA035-คละ-00-350-00,โคมไฟระย้า,คละสี,,350,,
34,AA035-18-SLV,AA035-SLV-00-18-00,โคมไฟระย้า,เงิน,,18,,
35,AA035-20-SLV,AA035-SLV-00-20-00,โคมไฟระย้า,เงิน,,20,,
36,AA035-28-GRN,AA035-GRN-00-28-00,โคมไฟระย้า,สีเขียว,,28,,
37,AA035-28-CYN,AA035-สีฟ-00-28-00,โคมไฟระย้า,สีฟ้า,,28,,
38,AA035-15-MIX,AA035-คละ-00-15-00,โคมไฟระย้า,คละสี,,15,,
39,AA035-60-MIX,AA035-คละ-00-60-00,โคมไฟระย้า,คละ,,60,,
40,AA035-38-MIX,AA035-คละ-00-38-00,โคมไฟระย้า,คละสี,,38,,
41,AA035-18-MIX,AA035-คละ-00-18-00,โคมไฟระย้า,คละสี,,18,,
42,AA035-00-NA,AA035-XXX-00-00-00,โคมไฟระย้า,,,,,
43,AA035-28-GRY,AA035-GRY-00-28-00,โคมไฟระย้า,เทา,,28,,
44,AA035-38-SLV,AA035-SLV-00-38-00,โคมไฟระย้า,น้ำเงิน,,38,,
45,AA036-60-60-NA,AA03660-XXX-00-60-00,โคมไฟระย้า,,,60,,
46,AA036-80-80-NA,AA03680-XXX-00-80-00,โคมไฟระย้า,,,80,,
47,AA037-150-NA,AA037-XXX-00-150-00,โคมไฟระย้า,,,150,,
48,AA038-80-NA,AA038-XXX-00-80-00,โคมไฟระย้า,,,80,,
49,AA038-60-GRY,AA038-GRY-00-60-00,โคมไฟระย้า,เทา,,60,,
50,AA038-60-NA,AA038-XXX-00-60-00,โคมไฟระย้า,,,60,,
51,AA039-340-BLK,AA039-BLK-00-340-00,โคมไฟระย้า,ดำเงา,,340,,
52,AA044-105-GLD,AA044-GLD-00-105-00,โคมไฟระย้า,ทอง,,105,,
53,AA044-85-GLD,AA044-GLD-00-85-00,โคมไฟระย้า,ทอง,,85,,
54,AA044-00-GLD,AA044-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
55,AA044-1-00-GLD,AA0441-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
