Table Name,Column Name,Data Type,Nullable
customers,id,text,NO
customers,name,text,NO
customers,phone,text,YES
customers,email,text,YES
customers,line_id,text,YES
customers,facebook,text,YES
customers,instagram,text,YES
customers,address,text,YES
customers,contact1,jsonb,YES
customers,contact2,jsonb,YES
customers,addresses,jsonb,YES
customers,tax_invoices,jsonb,YES
customers,media_source,text,YES
customers,media_source_other,text,YES
customers,created_at,timestamp with time zone,NO
employees,id,uuid,NO
employees,eid,text,YES
employees,firstname,text,YES
employees,lastname,text,YES
employees,nickname,text,YES
employees,fullname,text,YES
employees,email,text,YES
employees,phone1,text,YES
employees,phone2,text,YES
employees,address,text,YES
employees,team,text,YES
employees,team_type,text,YES
employees,job_position,text,YES
employees,job_level,text,YES
employees,work_type,text,YES
employees,start_date,date,YES
employees,end_date,date,YES
employees,status,text,YES
employees,role,text,YES
employees,pay_type,text,YES
employees,pay_rate,numeric,YES
employees,incentive_rate,numeric,YES
employees,bank_name,text,YES
employees,account_number,text,YES
employees,citizen_id,text,YES
employees,birth_date,date,YES
employees,photos,jsonb,YES
employees,created_at,timestamp with time zone,NO
jobs,id,text,NO
jobs,order_id,text,YES
jobs,customer_id,text,YES
jobs,customer_name,text,YES
jobs,product_id,text,YES
jobs,product_name,text,YES
jobs,product_snapshot,jsonb,YES
jobs,job_type,text,YES
jobs,job_date,date,YES
jobs,job_time,text,YES
jobs,address,text,YES
jobs,google_map_link,text,YES
jobs,distance,numeric,YES
jobs,assigned_team,text,YES
jobs,inspector_1,jsonb,YES
jobs,inspector_2,jsonb,YES
jobs,status,text,YES
jobs,completion_date,timestamp with time zone,YES
jobs,signature_image_url,text,YES
jobs,installation_photos,ARRAY,YES
jobs,payment_slip_url,text,YES
jobs,notes,text,YES
jobs,created_at,timestamp with time zone,NO
order_items,id,uuid,NO
order_items,order_id,text,YES
order_items,product_id,text,YES
order_items,product_name,text,YES
order_items,quantity,integer,YES
order_items,unit_price,numeric,YES
order_items,job_id,text,YES
order_items,job_type,text,YES
order_items,appointment_date,date,YES
order_items,created_at,timestamp with time zone,NO
orders,id,text,NO
orders,customer_id,text,YES
orders,customer_name,text,YES
orders,customer_details,jsonb,YES
orders,order_date,date,YES
orders,status,text,YES
orders,total_amount,numeric,YES
orders,deposit,numeric,YES
orders,shipping_fee,numeric,YES
orders,discount,jsonb,YES
orders,vat_rate,numeric,YES
orders,items,jsonb,YES
orders,job_info,jsonb,YES
orders,tax_invoice_info,jsonb,YES
orders,delivery_address_info,jsonb,YES
orders,selected_contact,jsonb,YES
orders,payment_schedule,jsonb,YES
orders,note,text,YES
orders,created_at,timestamp with time zone,NO
products,id,text,NO
products,name,text,NO
products,category,text,YES
products,subcategory,text,YES
products,description,text,YES
